ENTREZID,SYMBOL,GENENAME,ERR4368607,ERR4368608,ERR4368610,ERR4368611
100017,Ldlrap1,low density lipoprotein receptor adaptor protein 1,4.64487031356175,4.53353382951036,4.49660076228101,4.65045444091115
100019,Mdn1,midasin AAA ATPase 1,5.18967101338092,5.24310171562531,5.16611205219673,5.2787866364786
100034361,Mfap1b,microfibrillar-associated protein 1B,1.73420720538793,2.46856215600112,2.71316446712963,2.00907470714292
100034726,Gm15772,ribosomal protein L26 pseudogene,5.06179037627274,5.15041971311546,5.20803350162983,5.03649896805892
100034739,Gm17762,"predicted gene, 17762",-1.59208608206083,-0.46831775796205,-0.332847930627208,-0.54626262446896
100036521,Umad1,UMAP1-MVP12 associated (UMA) domain containing 1,4.00286050723294,4.18499359426928,4.00590220558762,4.00457799168671
100037258,Dnajc3,DnaJ heat shock protein family (Hsp40) member C3,7.8789116516703,7.98340145442017,7.87606378114109,7.92289935612668
100037278,Niban3,niban apoptosis regulator 3,0.0217312813325065,-0.391355776147166,0.338529321911421,0.516847419385678
100037282,Rsph3b,radial spoke 3B homolog (Chlamydomonas),2.453632218245,1.97485288030089,2.56809339865012,2.30726247902157
100037283,Rnaset2a,ribonuclease T2A,1.548395141489,1.35866597084449,1.16650585458511,1.45080208450649
100038347,Fam174b,"family with sequence similarity 174, member B",3.35928694945851,3.15724097897147,2.88380812116009,3.30482617947121
100038392,Gm10785,predicted gene 10785,-0.486733081914606,-1.04343247272686,-0.891338219987174,-0.694361263458094
100038398,NA,NA,1.09822941880655,1.30185961522601,1.21604531538643,1.13693171325627
100038416,Gm10643,predicted gene 10643,1.36914434777459,1.23060093205619,0.978353757667095,0.846613224885725
100038433,9130213A22Rik,RIKEN cDNA 9130213A22 gene,0.374747054003966,0.397140118659122,0.919759103756247,1.05425469044704
100038452,NA,NA,1.21526883999677,1.06295687186512,1.20381901305317,1.35984581062114
100038470,Gm10808,predicted gene 10808,1.99651499572367,1.90791172132902,2.57285477274385,2.5651487517229
100038504,Gm10369,predicted gene 10369,0.712247952811789,0.284372188497172,0.949353885944543,1.23573672331175
100038526,Gm16008,predicted gene 16008,-1.02177035730408,-0.283102885495143,-0.606608743054061,-0.289104784971836
100038538,Gm10767,predicted gene 10767,-1.35107798255704,-0.876782603317408,-1.38729571464959,-0.774531612142077
100038541,Gm10554,predicted gene 10554,2.87329480290765,3.15403498867238,2.72604575842636,3.10834429898137
100038570,Prcd,photoreceptor disc component,-0.803590187254547,-0.391355776147166,0.246165303762761,0.582685232748424
100038582,Gm10824,predicted gene 10824,-1.68228389103241,-1.8001613217145,-0.741960595948947,-0.802276602624982
100038591,F420014N23Rik,RIKEN cDNA F420014N23 gene,-0.908559746856089,-0.283102885495143,-0.564173476733664,-0.157860251693583
100038614,Gm10791,predicted gene 10791,-0.369693660724387,-1.04343247272686,-0.695418010011917,-0.289104784971836
100038647,Gm10572,predicted gene 10572,-0.753837152057447,-1.61374819748361,-1.24643317880974,-1.55803979224531
100038700,Gm14488,predicted gene 14488,-1.42702683579034,-2.13458036078505,-0.405911392816932,-0.918921521477252
100038711,Gm10309,predicted gene 10309,0.440335395631542,0.110042007934859,0.360725068025617,0.593371911545671
100038712,Gm10516,predicted gene 10516,1.80231165115897,2.32769962016127,2.07213590398771,1.9970521788937
100038725,Cep85l,centrosomal protein 85-like,0.582688319042873,0.61798208843217,0.978353757667095,0.715794014441004
100038730,Gm10387,predicted gene 10387,0.523391135359101,0.481409035556726,-0.522950814007151,0.245932490417638
100038746,Gm1976,predicted gene 1976,2.2431030481935,2.26963564524028,2.69143672149622,2.37695614104356
100038882,Isg15,ISG15 ubiquitin-like modifier,5.87848036191089,6.62103295265341,2.94385091026716,2.97167876650144
100038999,Gm13552,mitochondrial ribosomal protein S18B pseudogene,0.183698760995899,0.330542369930099,0.0138025936713852,-0.194156380916573
100039062,Gm2027,nuclear assembly factor 1 homolog pseudogene,-2.3885526879757,-0.429323626346187,-1.54341491656687,-1.25995843931232
100039123,Gm14295,predicted gene 14295,1.26438660656146,1.5561768039587,1.68924584022341,1.38466698270718
100039139,Ccdc152,coiled-coil domain containing 152,2.26740164431689,2.23970313916344,2.96211311665988,3.01604185782464
100039239,Gm2115,predicted gene 2115,1.24003674514571,1.34748223235181,2.42796440549337,2.48132876080398
100039252,Gm12693,predicted gene 12693,2.79606169896897,2.58741038941361,2.1821704497484,2.30726247902157
100039419,Gm2223,predicted pseudogene 2223,2.01815582710868,2.43197010282222,2.56331625838825,2.13875675466459
100039422,Gm2225,predicted gene 2225,2.82090067765325,2.74060137509613,2.81313137519007,2.62626652035351
100039484,Gm2260,predicted gene 2260,-2.9360404832782,-3.19871069820477,-3.86534301145423,-0.859420509728591
100039495,Gm15706,predicted gene 15706,-0.0973213903112569,0.110042007934859,0.121717932838273,-0.0211715797252024
100039532,Gm10029,predicted pseudogene 10029,-0.486733081914606,-0.680862393342151,-1.00027259154034,-1.14892712692358
